1.64354e-05 6.62306e+04  1.52232e+03 1.52232e+03 
3.28708e-05 6.62689e+04  5.70711e+03 5.74468e+03 
4.93062e-05 6.63938e+04  1.21372e+04 1.23066e+04 
6.57415e-05 6.66700e+04  2.07049e+04 2.11724e+04 
8.21768e-05 6.71697e+04  3.12872e+04 3.22997e+04 
9.86120e-05 6.79648e+04  4.37556e+04 4.56399e+04 
1.15047e-04 6.91189e+04  5.79853e+04 6.11391e+04 
1.31482e-04 7.06805e+04  7.38641e+04 7.87395e+04 
1.47917e-04 7.26768e+04  9.13008e+04 9.83801e+04 
1.64351e-04 7.51087e+04  1.10231e+05 1.19998e+05 
1.80785e-04 7.79486e+04  1.30623e+05 1.43530e+05 
1.97219e-04 8.11394e+04  1.52476e+05 1.68914e+05 
2.13652e-04 8.45963e+04  1.75822e+05 1.96088e+05 
2.30085e-04 8.82109e+04  2.00725e+05 2.24993e+05 
2.46517e-04 9.18564e+04  2.27271e+05 2.55577e+05 
2.62948e-04 9.53949e+04  2.55562e+05 2.87788e+05 
2.79379e-04 9.86852e+04  2.85713e+05 3.21585e+05 
2.95810e-04 1.01592e+05  3.17836e+05 3.56928e+05 
3.12239e-04 1.03991e+05  3.52038e+05 3.93790e+05 
3.28668e-04 1.05782e+05  3.88409e+05 4.32146e+05 
3.45096e-04 1.06890e+05  4.27019e+05 4.71984e+05 
3.61523e-04 1.07270e+05  4.67911e+05 5.13297e+05 
3.77950e-04 1.06912e+05  5.11097e+05 5.56086e+05 
3.94376e-04 1.05839e+05  5.56563e+05 6.00363e+05 
4.10801e-04 1.04106e+05  6.04265e+05 6.46144e+05 
4.27225e-04 1.01796e+05  6.54137e+05 6.93456e+05 
4.43648e-04 9.90132e+04  7.06093e+05 7.42330e+05 
4.60071e-04 9.58801e+04  7.60038e+05 7.92804e+05 
4.76493e-04 9.25257e+04  8.15872e+05 8.44923e+05 
4.92915e-04 8.90802e+04  8.73497e+05 8.98733e+05 
5.09336e-04 8.56674e+04  9.32829e+05 9.54286e+05 
5.25756e-04 8.23977e+04  9.93799e+05 1.01164e+06 
5.42176e-04 7.93634e+04  1.05636e+06 1.07084e+06 
5.58595e-04 7.66345e+04  1.12049e+06 1.13195e+06 
5.75014e-04 7.42571e+04  1.18619e+06 1.19503e+06 
5.91433e-04 7.22528e+04  1.25350e+06 1.26012e+06 
6.07851e-04 7.06206e+04  1.32246e+06 1.32729e+06 
6.24269e-04 6.93398e+04  1.39315e+06 1.39656e+06 
6.40687e-04 6.83745e+04  1.46565e+06 1.46800e+06 
6.57105e-04 6.76784e+04  1.54004e+06 1.54163e+06 
6.73522e-04 6.72007e+04  1.61642e+06 1.61749e+06 
6.89939e-04 6.68916e+04  1.69487e+06 1.69560e+06 
7.06357e-04 6.67072e+04  1.77545e+06 1.77598e+06 
7.22774e-04 6.66136e+04  1.85822e+06 1.85864e+06 
7.39191e-04 6.65899e+04  1.94319e+06 1.94359e+06 
7.55608e-04 6.66302e+04  2.03037e+06 2.03082e+06 
7.72025e-04 6.67428e+04  2.11975e+06 2.12032e+06 
7.88441e-04 6.69497e+04  2.21128e+06 2.21207e+06 
8.04858e-04 6.72833e+04  2.30489e+06 2.30605e+06 
8.21275e-04 6.77829e+04  2.40052e+06 2.40223e+06 
8.37691e-04 6.84902e+04  2.49808e+06 2.50056e+06 
8.54107e-04 6.94442e+04  2.59749e+06 2.60102e+06 
8.70524e-04 7.06765e+04  2.69866e+06 2.70356e+06 
8.86939e-04 7.22068e+04  2.80154e+06 2.80812e+06 
9.03355e-04 7.40393e+04  2.90605e+06 2.91466e+06 
9.19770e-04 7.61604e+04  3.01217e+06 3.02312e+06 
9.36185e-04 7.85373e+04  3.11989e+06 3.13346e+06 
9.52600e-04 8.11182e+04  3.22920e+06 3.24563e+06 
9.69014e-04 8.38343e+04  3.34013e+06 3.35957e+06 
9.85427e-04 8.66026e+04  3.45274e+06 3.47524e+06 
1.00184e-03 8.93302e+04  3.56707e+06 3.59260e+06 
1.01825e-03 9.19191e+04  3.68321e+06 3.71161e+06 
1.03466e-03 9.42720e+04  3.80122e+06 3.83223e+06 
1.05108e-03 9.62975e+04  3.92119e+06 3.95443e+06 
1.06749e-03 9.79156e+04  4.04316e+06 4.07820e+06 
1.08390e-03 9.90624e+04  4.16721e+06 4.20351e+06 
1.10031e-03 9.96936e+04  4.29336e+06 4.33037e+06 
1.11671e-03 9.97870e+04  4.42165e+06 4.45876e+06 
1.13312e-03 9.93436e+04  4.55206e+06 4.58868e+06 
1.14953e-03 9.83872e+04  4.68460e+06 4.72016e+06 
1.16594e-03 9.69629e+04  4.81922e+06 4.85320e+06 
1.18234e-03 9.51336e+04  4.95588e+06 4.98783e+06 
1.19875e-03 9.29767e+04  5.09451e+06 5.12408e+06 
1.21515e-03 9.05791e+04  5.23506e+06 5.26197e+06 
1.23156e-03 8.80319e+04  5.37745e+06 5.40154e+06 
1.24796e-03 8.54259e+04  5.52164e+06 5.54284e+06 
1.26436e-03 8.28462e+04  5.66756e+06 5.68591e+06 
1.28076e-03 8.03685e+04  5.81518e+06 5.83079e+06 
1.29717e-03 7.80557e+04  5.96447e+06 5.97752e+06 
1.31357e-03 7.59557e+04  6.11543e+06 6.12616e+06 
1.32997e-03 7.41003e+04  6.26805e+06 6.27673e+06 
1.34637e-03 7.25056e+04  6.42238e+06 6.42930e+06 
1.36277e-03 7.11728e+04  6.57845e+06 6.58390e+06 
1.37917e-03 7.00911e+04  6.73630e+06 6.74055e+06 
1.39557e-03 6.92399e+04  6.89599e+06 6.89931e+06 
1.41197e-03 6.85930e+04  7.05759e+06 7.06019e+06 
1.42837e-03 6.81213e+04  7.22114e+06 7.22323e+06 
1.44477e-03 6.77969e+04  7.38670e+06 7.38843e+06 
1.46117e-03 6.75960e+04  7.55430e+06 7.55581e+06 
1.47756e-03 6.75011e+04  7.72397e+06 7.72538e+06 
1.49396e-03 6.75027e+04  7.89572e+06 7.89713e+06 
1.51036e-03 6.76002e+04  8.06955e+06 8.07107e+06 
1.52676e-03 6.78011e+04  8.24544e+06 8.24718e+06 
