1.23266e-04 4.27834e+03  5.35943e+04 5.35943e+04 
2.46531e-04 2.25604e+04  1.55702e+05 1.87394e+05 
3.69758e-04 1.40177e+04  3.53253e+05 3.69535e+05 
4.92937e-04 8.66731e+02  6.15703e+05 6.14898e+05 
6.16095e-04 5.15139e+02  9.56020e+05 9.55375e+05 
7.39256e-04 9.99777e+03  1.37885e+06 1.39007e+06 
8.62402e-04 1.86091e+04  1.86323e+06 1.88967e+06 
9.85505e-04 6.58199e+03  2.43677e+06 2.44322e+06 
1.10857e-03 7.09900e+02  3.07168e+06 3.07257e+06 
1.23163e-03 3.02327e+03  3.79365e+06 3.79597e+06 
1.35468e-03 1.32145e+04  4.58255e+06 4.60069e+06 
1.47770e-03 1.26940e+04  5.44788e+06 5.46512e+06 
1.60069e-03 3.34013e+03  6.38862e+06 6.39210e+06 
1.72364e-03 1.48792e+03  7.40003e+06 7.40198e+06 
1.84659e-03 6.46871e+03  8.49203e+06 8.49988e+06 
1.96953e-03 1.29272e+04  9.65080e+06 9.66925e+06 
2.09243e-03 7.87208e+03  1.08887e+07 1.08989e+07 
2.21530e-03 2.42209e+03  1.21960e+07 1.21993e+07 
2.33816e-03 3.19645e+03  1.35802e+07 1.35842e+07 
2.46100e-03 8.97801e+03  1.50370e+07 1.50493e+07 
2.58382e-03 1.05157e+04  1.65655e+07 1.65804e+07 
2.70660e-03 5.05039e+03  1.81691e+07 1.81757e+07 
2.82936e-03 2.71875e+03  1.98433e+07 1.98472e+07 
2.95211e-03 5.36553e+03  2.15936e+07 2.16007e+07 
3.07484e-03 9.61746e+03  2.34139e+07 2.34276e+07 
3.19754e-03 7.79216e+03  2.53082e+07 2.53190e+07 
3.32022e-03 3.87605e+03  2.72740e+07 2.72794e+07 
3.44287e-03 3.76190e+03  2.93128e+07 2.93180e+07 
3.56551e-03 7.10389e+03  3.14243e+07 3.14342e+07 
3.68812e-03 8.73984e+03  3.36067e+07 3.36191e+07 
3.81071e-03 5.80230e+03  3.58619e+07 3.58700e+07 
3.93327e-03 3.78084e+03  3.81880e+07 3.81934e+07 
4.05582e-03 5.12615e+03  4.05871e+07 4.05942e+07 
4.17834e-03 7.81180e+03  4.30569e+07 4.30680e+07 
4.30085e-03 7.27885e+03  4.55983e+07 4.56086e+07 
4.42332e-03 4.76836e+03  4.82109e+07 4.82176e+07 
4.54578e-03 4.33792e+03  5.08947e+07 5.09008e+07 
4.66821e-03 6.27866e+03  5.36500e+07 5.36589e+07 
4.79063e-03 7.53694e+03  5.64757e+07 5.64865e+07 
4.91302e-03 5.99621e+03  5.93725e+07 5.93809e+07 
5.03538e-03 4.51747e+03  6.23396e+07 6.23460e+07 
5.15773e-03 5.17276e+03  6.53777e+07 6.53850e+07 
5.28006e-03 6.83691e+03  6.84861e+07 6.84958e+07 
5.40236e-03 6.75289e+03  7.16647e+07 7.16743e+07 
5.52464e-03 5.22101e+03  7.49134e+07 7.49208e+07 
5.64690e-03 4.78248e+03  7.82322e+07 7.82390e+07 
5.76913e-03 5.91256e+03  8.16212e+07 8.16296e+07 
5.89135e-03 6.77198e+03  8.50798e+07 8.50894e+07 
6.01354e-03 5.95122e+03  8.86081e+07 8.86165e+07 
6.13571e-03 4.96149e+03  9.22058e+07 9.22128e+07 
6.25786e-03 5.27973e+03  9.58732e+07 9.58807e+07 
6.37999e-03 6.29857e+03  9.96098e+07 9.96188e+07 
6.50209e-03 6.33402e+03  1.03416e+08 1.03425e+08 
6.62418e-03 5.41271e+03  1.07290e+08 1.07298e+08 
6.74624e-03 5.07534e+03  1.11234e+08 1.11241e+08 
6.86828e-03 5.74045e+03  1.15247e+08 1.15255e+08 
6.99030e-03 6.28958e+03  1.19328e+08 1.19337e+08 
7.11230e-03 5.83147e+03  1.23478e+08 1.23486e+08 
7.23427e-03 5.20113e+03  1.27696e+08 1.27704e+08 
7.35622e-03 5.36626e+03  1.31983e+08 1.31991e+08 
7.47815e-03 5.98473e+03  1.36338e+08 1.36347e+08 
7.60007e-03 6.02642e+03  1.40761e+08 1.40770e+08 
7.72195e-03 5.46975e+03  1.45252e+08 1.45260e+08 
7.84382e-03 5.24493e+03  1.49811e+08 1.49819e+08 
7.96567e-03 5.64418e+03  1.54438e+08 1.54446e+08 
8.08749e-03 5.97744e+03  1.59132e+08 1.59141e+08 
8.20929e-03 5.70395e+03  1.63894e+08 1.63902e+08 
8.33107e-03 5.31457e+03  1.68724e+08 1.68731e+08 
8.45283e-03 5.41278e+03  1.73620e+08 1.73628e+08 
8.57457e-03 5.78518e+03  1.78584e+08 1.78592e+08 
8.69629e-03 5.80398e+03  1.83615e+08 1.83623e+08 
8.81798e-03 5.46321e+03  1.88712e+08 1.88720e+08 
8.93965e-03 5.32819e+03  1.93877e+08 1.93884e+08 
9.06130e-03 5.57338e+03  1.99108e+08 1.99116e+08 
9.18294e-03 5.76507e+03  2.04406e+08 2.04414e+08 
9.30454e-03 5.58978e+03  2.09770e+08 2.09778e+08 
9.42613e-03 5.35479e+03  2.15201e+08 2.15209e+08 
9.54770e-03 5.42251e+03  2.20698e+08 2.20706e+08 
9.66924e-03 5.64390e+03  2.26261e+08 2.26269e+08 
9.79077e-03 5.63989e+03  2.31890e+08 2.31898e+08 
9.91227e-03 5.42848e+03  2.37585e+08 2.37593e+08 
1.00000e-02 5.33255e+03  2.41739e+08 2.41746e+08 
